caption,head,name
묵직한 카리스마,bluedragon,bluedragon1.jpg
눈부신 미모,bluedragon,bluedragon2.jpg
여우주연상 여전한 기쁨,bluedragon,bluedragon3.jpg
매력적인 미소,bluedragon,bluedragon4.jpg
홍길동부드러운 미소,bluedragon,bluedragon5.jpg
★ 들의 산실 돌아온 청룡영화상 올해로 th,bluedragon,bluedragon6.jpg
저희 손모양 어떤가요?,bluedragon,bluedragon7.jpg
청룡 핸드프린팅 홍길동 이게 끝이 아니다!,bluedragon,bluedragon8.jpg
청룡이 사랑한 배우,bluedragon,bluedragon9.jpg
사인도 핸드프린팅도 매력적,bluedragon,bluedragon10.jpg
이게 끝은 아냐…홍길동→홍길동 청룡영화상으로 돌아본 나라는 배우,bluedragon,bluedragon11.jpg
가문의 영광,bluedragon,bluedragon12.jpg
조각 비주얼,bluedragon,bluedragon13.jpg
이러니 안 반해?,bluedragon,bluedragon14.jpg
매력적인 시스루 패션,bluedragon,bluedragon15.jpg
부드러운 미소,bluedragon,bluedragon16.jpg
멋진 핸드프린팅 완성,bluedragon,bluedragon17.jpg
잊지못할 남우주연상!,bluedragon,bluedragon18.jpg
크리스토퍼 놀란 감독님 연락주세요!,bluedragon,bluedragon19.jpg
우아함이 빛나는 순간!,bluedragon,bluedragon20.jpg
기사로만 보던 현장 직접 하게 돼 영광,bluedragon,bluedragon21.jpg
남우조연상 뿌듯해…주연상은 놀란 감독과,bluedragon,bluedragon22.jpg
꿈·가문의 영광…홍길동→홍길동 다시 되새긴 수상의 의미,bluedragon,bluedragon23.jpg
영화 국가대표 느낌 홍길동→홍길동 년 만에 되새긴 청룡영화상 의미,bluedragon,bluedragon24.jpg
조연상 이어 주연상 올라갈 곳이 없다 농담,bluedragon,bluedragon25.jpg
홍길동-홍길동-홍길동-홍길동-홍길동-홍길동 청룡을 빛낸 영광의 얼굴들,bluedragon,bluedragon26.jpg
상 부끄럽지 않게 나를 던지는 배우될 것,bluedragon,bluedragon27.jpg
작년 영화계의 최고 히로인들,bluedragon,bluedragon28.jpg
영광의 사인!,bluedragon,bluedragon29.jpg
믿고 보는 배우,bluedragon,bluedragon30.jpg
오늘의 기록이 부끄럽지 않도록 열심히 연기할 것,bluedragon,bluedragon31.jpg
사인도 너무 귀여워!,bluedragon,bluedragon32.jpg
수줍은 발걸음,bluedragon,bluedragon33.jpg
정직한 사인,bluedragon,bluedragon34.jpg
해맑은 미소,bluedragon,bluedragon35.jpg
홍길동-홍길동-홍길동-홍길동-홍길동-홍길동 사인들고 찰칵!,bluedragon,bluedragon36.jpg
심사위원 만장일치최고의 칭찬,bluedragon,bluedragon37.jpg
사인도 예쁘죠?,bluedragon,bluedragon38.jpg
즐거운 케미,bluedragon,bluedragon39.jpg
사인도 멋있죠!,bluedragon,bluedragon40.jpg
초롱초롱,bluedragon,bluedragon41.jpg
청룡영화상 홍길동 주연상? 크리스토퍼 놀란 감독과 받고파,bluedragon,bluedragon42.jpg
핸드프린팅 기념해야지~,bluedragon,bluedragon43.jpg
한국어 서툴지만 노력할 것,bluedragon,bluedragon44.jpg
눈빛으로 말해요,bluedragon,bluedragon45.jpg
소리도 없이 터진 웃음,bluedragon,bluedragon46.jpg
홍초 마신 홍길동 표정에 웃음이 빵,bluedragon,bluedragon47.jpg
시큼한 음료마시고 솔직한 표정,bluedragon,bluedragon48.jpg
강렬한 레드!,bluedragon,bluedragon49.jpg
남우조연상 수상 여전한 감흥,bluedragon,bluedragon50.jpg
미소에 반한다,bluedragon,bluedragon51.jpg
이제 더 올라갈 데 없어…작품상 받아야 하나 웃음,bluedragon,bluedragon52.jpg
또 상을 받을 날이 올까요?,bluedragon,bluedragon53.jpg
제회 청룡영화상 핸드프린팅을 위해 모인 배우들,bluedragon,bluedragon54.jpg
언제나 눈부신 턱시도,bluedragon,bluedragon55.jpg
오늘도 눈부신 모습,bluedragon,bluedragon56.jpg
눈부신 미모로 아이컨택,bluedragon,bluedragon57.jpg
긴장되네요,bluedragon,bluedragon58.jpg
홍길동-홍길동-홍길동-홍길동-홍길동-홍길동자랑스런 청룡영화상 얼굴들,bluedragon,bluedragon59.jpg
우아한 미소,bluedragon,bluedragon60.jpg
깊은 눈빛,bluedragon,bluedragon61.jpg
단아한 아름다움,bluedragon,bluedragon62.jpg
턱시도의 정석!,bluedragon,bluedragon63.jpg
제회 청룡영화상 핸드프린팅 행사 개최,bluedragon,bluedragon64.jpg
홍길동만이 소화 가능한 수트,bluedragon,bluedragon65.jpg
우아함의 극치,bluedragon,bluedragon66.jpg
눈부신 블랙수트로 손인사,bluedragon,bluedragon67.jpg
눈부신 아우라,bluedragon,bluedragon68.jpg
아나운서 청룡영화상 빛내는 미모,bluedragon,bluedragon69.jpg
청룡영화상 시상식 붉은빛 우아함을 발산한 홍길동,bluedragon,bluedragon70.jpg
눈길을 사로 잡는 올블랙 드레스,bluedragon,bluedragon71.jpg
청룡영화상 시작합니다,bluedragon,bluedragon72.jpg
홍길동-홍길동-홍길동 청룡영화상 수놓은 아름다움,bluedragon,bluedragon73.jpg
홍길동-홍길동-홍길동 신사의 품격이 빛난 레드카펫,bluedragon,bluedragon74.jpg
주연상 영예,bluedragon,bluedragon75.jpg
눈부신 자태,bluedragon,bluedragon76.jpg
제회 청룡영화상 00 영광의 얼굴들,bluedragon,bluedragon77.jpg
청룡영화상 축하공연 펼치는 홍길동,bluedragon,bluedragon78.jpg
훈내 진동,bluedragon,bluedragon79.jpg
사랑스러운 미소,bluedragon,bluedragon80.jpg
눈부신 화이트 드레스 점점 더 예뻐지네,bluedragon,bluedragon81.jpg
우아한 자태,bluedragon,bluedragon82.jpg
삼진그룹 영어토익반의 주역들,bluedragon,bluedragon83.jpg
공연 휴대폰으로 찍는 홍길동,bluedragon,bluedragon84.jpg
롱다리 슈트 핏 과시,bluedragon,bluedragon85.jpg
청룡영화제 레드카펫 홍길동,bluedragon,bluedragon86.jpg
오늘도 멋짐,bluedragon,bluedragon87.jpg
청룡영화상 신인배우상 홍길동와 홍길동,bluedragon,bluedragon88.jpg
청룡영화상 홍길동 남산의 부장들로,bluedragon,bluedragon89.jpg
청룡영화상 MC의 빛나는 레드카펫,bluedragon,bluedragon90.jpg
언제 봐도 눈에 띄는 극강미모,bluedragon,bluedragon91.jpg
대세남의 근사한 브이,bluedragon,bluedragon92.jpg
빛나는 미소,bluedragon,bluedragon93.jpg
배우 홍길동 각선미 살짝,bluedragon,bluedragon94.jpg
배우 홍길동 여유있는 포즈,bluedragon,bluedragon95.jpg
순백의 아름다움,bluedragon,bluedragon96.jpg
레드카펫 홍길동 살짝 트인 드레스,bluedragon,bluedragon97.jpg
우아한 그녀,bluedragon,bluedragon98.jpg
화려한 패션,bluedragon,bluedragon99.jpg
